source,version,published_year,scope,activity_type,name,is_renewable,is_biofuel,is_refrigerant,kgco2e,unit_name,heat_content,biogenic_kgco2e,cost_inr
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-236ea,False,False,True,1330.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-245ca,False,False,True,716.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFC-365mfc,False,False,True,804.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,R-404A,False,False,True,3943.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,R-407A,False,False,True,1923.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,R-407C,False,False,True,1624.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,R-407F,False,False,True,1674.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,R-408A,False,False,True,2430.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,R-410A,False,False,True,1924.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,R-507A,False,False,True,3985.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,R-403A,False,False,True,1780.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,CFC-13,False,False,True,13900.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,CFC-113,False,False,True,5820.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,CFC-114,False,False,True,8590.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,CFC-115,False,False,True,7670.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Halon-1211,False,False,True,1750.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Halon-1301,False,False,True,6290.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Halon-2402,False,False,True,1470.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Carbon tetrachloride,False,False,True,1730.0,kg,,,120.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Methyl bromide,False,False,True,2.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Methyl chloroform,False,False,True,160.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HCFC-123,False,False,True,79.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HCFC-124,False,False,True,527.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HCFC-141b,False,False,True,782.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HCFC-142b,False,False,True,1980.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Trifluoromethyl sulphur pentafluoride,False,False,True,17400.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-125,False,False,True,12400.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-134,False,False,True,5560.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-143a,False,False,True,523.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HCFE-235da2,False,False,True,491.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-245cb2,False,False,True,654.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-245fa2,False,False,True,812.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-254cb2,False,False,True,301.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-347mcc3,False,False,True,530.0,kg,,,250.0
